state,number,fips
Alabama,1,01
Arizona,8,04
Arkansas,2,05
California,40,06
Colorado,11,08
Connecticut,3,09
Delaware,3,10
District of Columbia,4,11
Florida,6,12
Georgia,6,13
Hawaii,1,15
Idaho,1,16
Illinois,6323,17
Indiana,17,18
Iowa,7,19
Kansas,9,20
Kentucky,7,21
Louisiana,2,22
Maryland,17,24
Massachusetts,9,25
Michigan,17,26
Minnesota,9,27
Missouri,44,29
Nebraska,7,31
Nevada,3,32
New Hampshire,4,33
New Jersey,37,34
New Mexico,1,35
New York,14,36
North Carolina,5,37
Ohio,37,39
Oklahoma,5,40
Oregon,3,41
Pennsylvania,6,42
South Carolina,2,45
Tennessee,4,47
Texas,21,48
Vermont,1,50
Virginia,13,51
Washington,11,53
West Virginia,3,54
Wisconsin,13,55
