state,number,fips
Alabama,3,01
Alaska,1,02
Arizona,6,04
California,40,06
Colorado,6,08
Connecticut,12,09
District of Columbia,3,11
Florida,17,12
Georgia,10,13
Hawaii,1,15
Illinois,5969,17
Indiana,21,18
Iowa,11,19
Kansas,11,20
Kentucky,5,21
Maine,1,23
Maryland,20,24
Massachusetts,24,25
Michigan,21,26
Minnesota,11,27
Mississippi,1,28
Missouri,33,29
Nebraska,4,31
Nevada,3,32
New Hampshire,2,33
New Jersey,61,34
New Mexico,1,35
New York,20,36
North Carolina,10,37
Ohio,32,39
Oregon,3,41
Pennsylvania,18,42
Rhode Island,1,44
South Carolina,1,45
South Dakota,1,46
Tennessee,9,47
Texas,24,48
Utah,2,49
Virginia,15,51
Washington,2,53
West Virginia,1,54
Wisconsin,12,55
