county,percent
Adams ,6
Alexander ,1
Bond ,1
Boone ,14
Brown ,1
Bureau ,5
Carroll ,2
Cass ,4
Champaign ,158
Christian ,7
Clay ,2
Clinton ,9
Coles ,13
Cook ,2113
Crawford ,1
Cumberland ,2
Dekalb ,20
Dewitt ,1
Douglas ,5
Dupage ,635
Edgar ,5
Edwards ,1
Effingham ,18
Fayette ,2
Ford ,8
Franklin ,3
Fulton ,4
Greene ,1
Grundy ,14
Hancock ,2
Henry ,11
Iroquois ,12
Jackson ,15
Jasper ,5
Jefferson ,5
Jersey ,5
Jo Daviess ,1
Johnson ,2
Kane ,156
Kankakee ,17
Kendall ,31
Knox ,7
La Salle ,13
Lake ,533
Lawrence ,1
Lee ,4
Livingston ,16
Logan ,7
Macon ,22
Macoupin ,13
Madison ,46
Marion ,5
Marshall ,4
Mason ,2
Massac ,2
McDonough ,8
McHenry ,107
McLean ,59
Menard ,1
Mercer ,2
Monroe ,12
Montgomery ,3
Morgan ,8
Moultrie ,3
Ogle ,6
Peoria ,53
Perry ,1
Piatt ,17
Pike ,3
Putnam ,2
Randolph ,3
Richland ,3
Rock Island ,19
Saint Clair ,50
Saline ,1
Sangamon ,40
Schuyler ,2
Stephenson ,5
Tazewell ,32
Union ,1
Vermilion ,19
Warren ,5
Washington ,2
Wayne ,1
White ,2
Whiteside ,12
Will ,384
Williamson ,6
Winnebago ,58
Woodford ,4
