county,percent
Adams ,13
Alexander ,2
Bond ,5
Boone ,15
Brown ,1
Bureau ,2
Carroll ,1
Champaign ,175
Christian ,15
Clark ,3
Clinton ,2
Coles ,18
Cook ,2209
Crawford ,5
Cumberland ,1
Dekalb ,28
Dewitt ,3
Douglas ,10
Dupage ,761
Edgar ,5
Edwards ,1
Effingham ,11
Fayette ,1
Ford ,4
Franklin ,6
Fulton ,7
Greene ,1
Grundy ,7
Hamilton ,1
Hancock ,2
Hardin ,2
Henderson ,1
Henry ,14
Iroquois ,8
Jackson ,6
Jasper ,2
Jefferson ,8
Jersey ,4
Jo Daviess ,2
Johnson ,3
Kane ,180
Kankakee ,33
Kendall ,33
Knox ,8
La Salle ,31
Lake ,559
Lawrence ,3
Lee ,20
Livingston ,12
Logan ,6
Macon ,19
Macoupin ,9
Madison ,51
Marion ,5
Marshall ,6
Mason ,7
Massac ,1
Mcdonough ,8
Mchenry ,106
Mclean ,34
Menard ,4
Mercer ,4
Monroe ,14
Montgomery ,3
Morgan ,6
Moultrie ,6
Ogle ,16
Peoria ,63
Perry ,3
Piatt ,9
Pike ,2
Pulaski ,1
Putnam ,1
Randolph ,6
Richland ,5
Rock Island ,19
Saint Clair ,52
Saline ,2
Sangamon ,43
Schuyler ,3
Scott ,2
Shelby ,3
Stark ,1
Stephenson ,12
Tazewell ,48
Union ,3
Vermilion ,16
Wabash ,1
Warren ,2
Washington ,5
Wayne ,4
White ,4
Whiteside ,9
Will ,403
Williamson ,6
Winnebago ,51
Woodford ,17
