county,percent
Adams ,8
Bond ,5
Boone ,8
Bureau ,10
Carroll ,1
Cass ,2
Champaign ,167
Christian ,6
Clark ,6
Clinton ,9
Coles ,16
Cook ,2115
Crawford ,1
Cumberland ,2
Dekalb ,19
Dewitt ,4
Douglas ,4
Dupage ,719
Edgar ,8
Edwards ,1
Effingham ,19
Fayette ,4
Ford ,6
Franklin ,7
Fulton ,7
Gallatin ,1
Greene ,1
Grundy ,17
Hamilton ,2
Hancock ,2
Hardin ,1
Henderson ,3
Henry ,12
Iroquois ,14
Jackson ,12
Jasper ,2
Jefferson ,4
Jersey ,1
Jo Daviess ,3
Kane ,157
Kankakee ,32
Kendall ,39
Knox ,11
La Salle ,20
Lake ,632
Lawrence ,5
Lee ,7
Livingston ,13
Logan ,11
Macon ,16
Macoupin ,8
Madison ,49
Marion ,1
Marshall ,4
Mason ,8
Massac ,2
McHenry ,3
McLean ,2
Mcdonough ,2
Mchenry ,23
Mclean ,5
Menard ,5
Mercer ,5
Monroe ,7
Montgomery ,2
Morgan ,7
Moultrie ,3
Ogle ,8
Peoria ,66
Perry ,5
Piatt ,16
Pike ,2
Pulaski ,1
Putnam ,1
Richland ,1
Rock Island ,20
Saint Clair ,54
Sangamon ,62
Scott ,1
Shelby ,7
Stephenson ,7
Tazewell ,37
Union ,1
Vermilion ,17
Warren ,2
Washington ,4
Wayne ,2
White ,1
Whiteside ,6
Will ,357
Williamson ,8
Winnebago ,47
Woodford ,4
