country,number
Argentina ,2
Brazil ,1
Canada ,10
China ,18
Colombia ,1
Hong Kong ,8
India ,48
Indonesia ,7
Japan ,2
Jordan ,1
Kazakhstan ,4
Kenya ,1
"Korea, South ",161
Macau ,1
Malaysia ,23
Mexico ,2
Nigeria ,1
Pakistan ,2
Philippines ,4
Poland ,1
Saudi Arabia ,1
Singapore ,16
Taiwan ,26
Thailand ,5
United Kingdom ,2
Venezuela ,1
