state,number
Alabama ,2
Arizona ,6
Arkansas ,2
California ,176
Colorado ,10
Connecticut ,16
Delaware ,1
Florida ,24
Georgia ,15
Hawaii ,5
Idaho ,1
Illinois ,5317
Indiana ,12
Iowa ,5
Kansas ,7
Kentucky ,8
Louisiana ,7
Maryland ,20
Massachusetts ,29
Michigan ,27
Minnesota ,8
Missouri ,32
Nebraska ,1
Nevada ,1
New Hampshire ,2
New Jersey ,86
New Mexico ,1
New York ,41
North Carolina ,7
Ohio ,34
Oklahoma ,5
Oregon ,6
Pennsylvania ,19
Puerto Rico ,3
South Carolina ,3
Tennessee ,10
Texas ,32
Virginia ,50
Washington ,16
West Virginia ,1
Wisconsin ,9
