country,number
Argentina ,1
Australia ,3
Brazil ,1
Canada ,9
China ,549
Colombia ,1
Hong Kong ,3
India ,109
Indonesia ,6
Japan ,2
Kazakhstan ,6
"Korea, North ",1
"Korea, South ",168
Kuwait ,1
Malaysia ,6
Mali ,1
Mongolia ,1
Netherlands ,1
New Zealand ,1
Nigeria ,3
Pakistan ,3
Philippines ,2
Russia ,1
Singapore ,24
South Africa ,2
Taiwan ,22
Thailand ,15
Turkey ,6
United Kingdom ,1
Venezuela ,2
Vietnam ,1
Zambia ,1
