state,number
Alabama ,3
Alaska ,3
Arizona ,5
Arkansas ,4
California ,63
Colorado ,13
Connecticut ,10
District of Columbia ,1
Florida ,14
Georgia ,9
Hawaii ,1
Idaho ,1
Illinois ,5433
Indiana ,11
Iowa ,10
Kansas ,6
Kentucky ,5
Louisiana ,4
Maryland ,17
Massachusetts ,24
Michigan ,13
Minnesota ,12
Missouri ,36
Nebraska ,4
Nevada ,2
New Hampshire ,2
New Jersey ,34
New Mexico ,1
New York ,29
North Carolina ,6
Ohio ,26
Oklahoma ,3
Oregon ,4
Pennsylvania ,12
Tennessee ,6
Texas ,22
Virginia ,19
Washington ,7
Wisconsin ,15
