state,number
Alabama ,1
Arizona ,8
Arkansas ,2
California ,40
Colorado ,11
Connecticut ,3
Delaware ,3
District of Columbia ,4
Florida ,6
Georgia ,6
Hawaii ,1
Idaho ,1
Illinois ,6323
Indiana ,17
Iowa ,7
Kansas ,9
Kentucky ,7
Louisiana ,2
Maryland ,17
Massachusetts ,9
Michigan ,17
Minnesota ,9
Missouri ,44
Nebraska ,7
Nevada ,3
New Hampshire ,4
New Jersey ,37
New Mexico ,1
New York ,14
North Carolina ,5
Ohio ,37
Oklahoma ,5
Oregon ,3
Pennsylvania ,6
South Carolina ,2
Tennessee ,4
Texas ,21
Vermont ,1
Virginia ,13
Washington ,11
West Virginia ,3
Wisconsin ,13
