county,number
Adams ,22
Alexander ,1
Bond ,3
Boone ,22
Brown ,3
Bureau ,18
Calhoun ,1
Carroll ,3
Cass ,5
Champaign ,222
Christian ,20
Clark ,3
Clay ,3
Clinton ,9
Coles ,12
Cook ,2396
Crawford ,6
Cumberland ,2
Dekalb ,27
Dewitt ,4
Douglas ,8
Dupage ,896
Edgar ,5
Edwards ,1
Effingham ,15
Ford ,5
Franklin ,2
Fulton ,9
Greene ,4
Grundy ,20
Hancock ,7
Henderson ,3
Henry ,19
Iroquois ,11
Jackson ,10
Jasper ,5
Jefferson ,7
Jersey ,1
Jo Daviess ,3
Kane ,213
Kankakee ,43
Kendall ,37
Knox ,8
La Salle ,44
Lake ,570
Lawrence ,1
Lee ,18
Livingston ,13
Logan ,11
Macon ,45
Macoupin ,6
Madison ,73
Marion ,3
Marshall ,8
Mason ,3
Massac ,3
Mcdonough ,8
Mchenry ,159
Mclean ,104
Menard ,6
Mercer ,4
Monroe ,12
Montgomery ,6
Morgan ,7
Moultrie ,4
Ogle ,21
Peoria ,86
Perry ,3
Piatt ,8
Pike ,4
Pope ,1
Putnam ,3
Randolph ,6
Richland ,5
Rock Island ,32
Saint Clair ,64
Saline ,2
Sangamon ,97
Schuyler ,3
Scott ,2
Shelby ,3
Stark ,1
Stephenson ,16
Tazewell ,43
Union ,1
Vermilion ,13
Wabash ,5
Warren ,5
Washington ,3
Wayne ,2
White ,3
Whiteside ,14
Will ,368
Williamson ,9
Winnebago ,82
Woodford ,19
